Index,Temperature,Humidity,DATE
4698,29.1,21,13/04/2024 14:01
4699,29.2,21,13/04/2024 14:01
4700,29.2,21,13/04/2024 14:01
4701,29.2,21,13/04/2024 14:01
4702,29.2,21,13/04/2024 14:01
4703,29.2,21,13/04/2024 14:02
4704,29.2,21,13/04/2024 14:02
4705,29.2,21,13/04/2024 14:02
4706,29.2,21,13/04/2024 14:02
4707,29.2,22,13/04/2024 14:02
4708,29.2,22,13/04/2024 14:02
4709,29.2,22,13/04/2024 14:03
4710,29.1,22,13/04/2024 14:03
4711,29.1,22,13/04/2024 14:03
4712,29.1,22,13/04/2024 14:03
4713,29.1,23,13/04/2024 14:03
4714,29.1,23,13/04/2024 14:03
4715,29.1,22,13/04/2024 14:04
4716,29.1,22,13/04/2024 14:04
4717,29.1,22,13/04/2024 14:04
4718,29.1,22,13/04/2024 14:04
4719,29.1,22,13/04/2024 14:04
4720,29.1,21,13/04/2024 14:04
4721,29.1,21,13/04/2024 14:05
4722,29.1,21,13/04/2024 14:05
4723,29.1,21,13/04/2024 14:05
4724,29.1,22,13/04/2024 14:05
4725,29.1,22,13/04/2024 14:05
4726,29.1,22,13/04/2024 14:05
4727,29.1,21,13/04/2024 14:06
4728,29.1,21,13/04/2024 14:06
4729,29.1,21,13/04/2024 14:06
4730,29.1,22,13/04/2024 14:06
4731,29.1,22,13/04/2024 14:06
4732,29.1,22,13/04/2024 14:06
4733,29.1,22,13/04/2024 14:07
4734,29.1,22,13/04/2024 14:07
4735,29.2,21,13/04/2024 14:07
4736,29.1,21,13/04/2024 14:07
4737,29.1,21,13/04/2024 14:07
4738,29.1,21,13/04/2024 14:08
4739,29.1,21,13/04/2024 14:08
4740,29.2,21,13/04/2024 14:08
4741,29.2,21,13/04/2024 14:08
4742,29.2,21,13/04/2024 14:08
4743,29.2,21,13/04/2024 14:08
4744,29.1,21,13/04/2024 14:09
4745,29.2,21,13/04/2024 14:09
4746,29.3,21,13/04/2024 14:09
4747,29.3,21,13/04/2024 14:09
4748,29.2,21,13/04/2024 14:09
4749,29.3,21,13/04/2024 14:09
4750,29.2,21,13/04/2024 14:10
4751,29.3,21,13/04/2024 14:10
4752,29.3,21,13/04/2024 14:10
4753,29.3,21,13/04/2024 14:10
4754,29.3,21,13/04/2024 14:10
4755,29.3,21,13/04/2024 14:10
4756,29.3,21,13/04/2024 14:11
4757,29.3,21,13/04/2024 14:11
4758,29.3,21,13/04/2024 14:11
4759,29.3,21,13/04/2024 14:11
4760,29.3,21,13/04/2024 14:11
4761,29.3,21,13/04/2024 14:11
4762,29.3,21,13/04/2024 14:12
4763,29.3,21,13/04/2024 14:12
4764,29.3,21,13/04/2024 14:12
4765,29.3,21,13/04/2024 14:12
4766,29.2,21,13/04/2024 14:12
4767,29.2,21,13/04/2024 14:12
4768,29.1,21,13/04/2024 14:13
4769,29.2,21,13/04/2024 14:13
4770,29.2,21,13/04/2024 14:13
4771,29.2,21,13/04/2024 14:13
4772,29.1,21,13/04/2024 14:13
4773,29.1,21,13/04/2024 14:13
4774,29.1,22,13/04/2024 14:14
4775,29.1,22,13/04/2024 14:14
4776,29.1,22,13/04/2024 14:14
4777,29.1,22,13/04/2024 14:14
4778,29.1,22,13/04/2024 14:14
4779,29.1,22,13/04/2024 14:14
4780,29.1,22,13/04/2024 14:15
4781,29.1,22,13/04/2024 14:15
4782,29.1,22,13/04/2024 14:15
4783,29.1,22,13/04/2024 14:15
4784,29.1,22,13/04/2024 14:15
4785,29.1,22,13/04/2024 14:15
4786,29.1,22,13/04/2024 14:16
4787,29.1,23,13/04/2024 14:16
4788,29.1,22,13/04/2024 14:16
4789,29,22,13/04/2024 14:16
4790,29.1,23,13/04/2024 14:16
4791,29.1,23,13/04/2024 14:16
4792,29.1,22,13/04/2024 14:17
4793,29.1,22,13/04/2024 14:17
4794,29.1,22,13/04/2024 14:17
4795,29.1,22,13/04/2024 14:17
4796,29.1,22,13/04/2024 14:17
4797,29.1,22,13/04/2024 14:17
4798,29.1,22,13/04/2024 14:18
4799,29,23,13/04/2024 14:18
4800,29.1,23,13/04/2024 14:18
4801,29,23,13/04/2024 14:18
4802,29.1,23,13/04/2024 14:18
4803,29.1,23,13/04/2024 14:18
4804,29.1,23,13/04/2024 14:19
4805,29.1,23,13/04/2024 14:19
4806,29.1,22,13/04/2024 14:19
4807,29.1,22,13/04/2024 14:19
4808,29.1,22,13/04/2024 14:19
4809,29.1,22,13/04/2024 14:19
4810,29.1,22,13/04/2024 14:20
4811,29.1,22,13/04/2024 14:20
4812,29.1,22,13/04/2024 14:20
4813,29.1,22,13/04/2024 14:20
4814,29.1,22,13/04/2024 14:20
4815,29.1,22,13/04/2024 14:20
4816,29.1,22,13/04/2024 14:21
4817,29.1,22,13/04/2024 14:21
4818,29.1,21,13/04/2024 14:21
4819,29.2,22,13/04/2024 14:21
4820,29.2,21,13/04/2024 14:21
4821,29.1,21,13/04/2024 14:21
4822,29.2,21,13/04/2024 14:22
4823,29.2,21,13/04/2024 14:22
4824,29.3,21,13/04/2024 14:22
4825,29.3,21,13/04/2024 14:22
4826,29.3,21,13/04/2024 14:22
4827,29.3,21,13/04/2024 14:22
4828,29.3,21,13/04/2024 14:23
4829,29.3,21,13/04/2024 14:23
4830,29.3,21,13/04/2024 14:23
4831,29.3,21,13/04/2024 14:23
4832,29.3,21,13/04/2024 14:23
4833,29.3,21,13/04/2024 14:24
4834,29.3,21,13/04/2024 14:24
4835,29.3,21,13/04/2024 14:24
4836,29.3,21,13/04/2024 14:24
4837,29.3,21,13/04/2024 14:24
4838,29.3,21,13/04/2024 14:24
4839,29.3,21,13/04/2024 14:25
4840,29.3,21,13/04/2024 14:25
4841,29.3,21,13/04/2024 14:25
4842,29.3,21,13/04/2024 14:25
4843,29.4,21,13/04/2024 14:25
4844,29.3,21,13/04/2024 14:25
4845,29.3,21,13/04/2024 14:26
4846,29.4,21,13/04/2024 14:26
4847,29.3,21,13/04/2024 14:26
4848,29.3,21,13/04/2024 14:26
4849,29.4,21,13/04/2024 14:26
4850,29.4,21,13/04/2024 14:26
4851,29.4,21,13/04/2024 14:27
4852,29.4,21,13/04/2024 14:27
4853,29.4,21,13/04/2024 14:27
4854,29.4,21,13/04/2024 14:27
4855,29.3,21,13/04/2024 14:27
4856,29.3,22,13/04/2024 14:27
4857,29.4,22,13/04/2024 14:28
4858,29.4,22,13/04/2024 14:28
4859,29.4,22,13/04/2024 14:28
4860,29.3,22,13/04/2024 14:28
4861,29.3,22,13/04/2024 14:28
4862,29.4,22,13/04/2024 14:28
4863,29.3,22,13/04/2024 14:29
4864,29.3,22,13/04/2024 14:29
4865,29.3,22,13/04/2024 14:29
4866,29.3,22,13/04/2024 14:29
4867,29.3,22,13/04/2024 14:29
4868,29.3,22,13/04/2024 14:29
4869,29.3,22,13/04/2024 14:30
4870,29.3,22,13/04/2024 14:30
4871,29.3,22,13/04/2024 14:30
4872,29.2,22,13/04/2024 14:30
4873,29.3,22,13/04/2024 14:30
4874,29.3,22,13/04/2024 14:30
4875,29.3,22,13/04/2024 14:31
4876,29.3,22,13/04/2024 14:31
4877,29.3,22,13/04/2024 14:31
4878,29.3,22,13/04/2024 14:31
4879,29.3,22,13/04/2024 14:31
4880,29.2,22,13/04/2024 14:31
4881,29.2,22,13/04/2024 14:32
